author,reviewedPaper
Afzal Godil,Partial 3D Object Retrieval combining Local Shape Descriptors with Global Fisher Vectors.
Afzal Godil,Experimental Similarity Assessment for a Collection of Fragmented Artifacts.
Tobias Schreck,Cimple - instruction and memory level parallelism - a DSL for uncovering ILP and MLP.
Tobias Schreck,Performance Measures of Behavior-Based Signatures - An Anti-malware Solution for Platforms with Limited Computing Resource.
Tobias Schreck,Enhanced VANET broadcast throughput capacity via a dynamic backbone architecture.
Masaki Aono,LightNet - A Lightweight 3D Convolutional Neural Network for Real-Time 3D Object Recognition.
Masaki Aono,Energy-Efficient and SLA-Based Resource Management in Cloud Data Centers.
Masaki Aono,Enhanced VANET broadcast throughput capacity via a dynamic backbone architecture.
Masaki Aono,3D-Xpath - high-density managed DRAM architecture with cost-effective alternative paths for memory transactions.
Masaki Aono,An Edit Distance for Reeb Graphs.
Martin Burtscher,"Enhanced Human Face Recognition Using LBPH Descriptor, Multi-KNN, and Back-Propagation Neural Network."
Martin Burtscher,Partial Matching of Deformable Shapes.
Martin Burtscher,Shape Retrieval of Non-Rigid 3D Human Models.
Hongbo Fu,3D Object Retrieval with Multimodal Views.
Takahiko Furuya,Visualization of Recovery Situation in Disaster Area by Using Web Reservation Data.
Takahiko Furuya,Revealing parallel scans and reductions in recurrences through function reconstruction.
Takahiko Furuya,Human detection from still depth images.
Henry Johan,Partial 3D Object Retrieval combining Local Shape Descriptors with Global Fisher Vectors.
Henry Johan,Automatic annotation of tasks in structured code.
Henry Johan,"A portable, automatic data qantizer for deep neural networks."
Henry Johan,Energy-Efficient Data Gathering Framework-Based Clustering via Multiple UAVs in Deadline-Based WSN Applications.
Jianzhuang Liu,TreeSha - 3D Shape Retrieval with a Tree Graph Representation based on the Autodiffusion Function Topology.
Jianzhuang Liu,Symmetry and Fourier Descriptor - A Hybrid Feature For NURBS based B-Rep Models Retrieval.
Jianzhuang Liu,Hypart - a hybrid technique for practical memory bandwidth partitioning on commodity servers.
Jianzhuang Liu,Truncated Signed Distance Function Volume Integration Based on Voxel-Level Optimization for 3D Reconstruction.
Ryutarou Ohbuchi,Architectural support for convolutional neural networks on modern CPUs.
Ryutarou Ohbuchi,Energy-Efficient Big Data Analytics in Datacenters.
Ryutarou Ohbuchi,Energy-Efficient Wireless Sensing for Level Set Estimations.
Ryutarou Ohbuchi,Towards an Observer-oriented Theory of Shape Comparison.
Atsushi Tatsuma,Revealing parallel scans and reductions in recurrences through function reconstruction.
Atsushi Tatsuma,3D Hand Gesture Recognition Using a Depth and Skeletal Dataset.
Changqing Zou,GMOD - a dynamic GPU memory overflow detector.
Changqing Zou,Shape Retrieval and 3D Gestural Interaction.
Changqing Zou,Energy-Efficient Resource Allocation for Massive MIMO Amplify-and-Forward Relay Systems.
Bo Li 0013,3D GrabCut - Interactive Foreground Extraction for Reconstructed 3D Scenes.
Bo Li 0013,Exploiting the PANORAMA Representation for Convolutional Neural Network Classification and Retrieval.
Bo Li 0013,Architectural support for convolutional neural networks on modern CPUs.
Bo Li 0013,Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.
Y. Lu,3D Object Retrieval with Multimodal Views.
Y. Lu,Retrieval of Human Subjects from Depth Sensor Data.
Y. Lu,Directed Curvature Histograms for Robotic Grasping.
C. Li,Retrieval of Human Subjects from Depth Sensor Data.
Afzal Godil,Copper micro and nano particles mixture for 3D interconnections application.
Afzal Godil,Partial Matching of Deformable Shapes.
Afzal Godil,Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.
Afzal Godil,An Edit Distance for Reeb Graphs.
Afzal Godil,Transactional pre-abort handlers in hardware transactional memory.
Tobias Schreck,Energy-Efficient Data Gathering Framework-Based Clustering via Multiple UAVs in Deadline-Based WSN Applications.
Tobias Schreck,Recognition of Geometric Patterns Over 3D Models.
Tobias Schreck,An Evaluation of Local Feature Encodings for Shape Retrieval.
Masaki Aono,Energy-Efficient Big Data Analytics in Datacenters.
Qiang Chen,Enhancing comparison shopping agents through ordering and gradual information disclosure.
Nihad Karim Chowdhury,E-PUR - an energy-efficient processing unit for recurrent neural networks.
Bin Fang,3D system integration research at IMEC.
Bin Fang,A Descriptor for Voxel Shapes Based on the Skeleton Cut Space.
Bin Fang,Proposed static timing analysis framework for extracted 3D integrated circuits (3D-STA).
Takahiko Furuya,Energy-Efficient Transceiver Design for Hybrid Sub-Array Architecture MIMO Systems.
Takahiko Furuya,Microshapes - Efficient Querying of 3D Object Collections based on Local Shape.
Henry Johan,Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.
Henry Johan,A Spatio-Temporal Descriptor for Dynamic 3D Facial Expression Retrieval and Recognition.
Henry Johan,3D Object Retrieval with Multimodal Views.
Ryuichi Kosaka,High-Fidelity Time-of-Flight Edge Sampling Using Superpixels.
Hitoshi Koyanagi,Point Cloud Compression using Depth Maps.
Hitoshi Koyanagi,Maximizing system utilization via parallelism management for co-located parallel applications.
Hitoshi Koyanagi,PhiGARo - Automatic Phishing Detection and Incident Response Framework.
Hitoshi Koyanagi,Recognition of Geometric Patterns Over 3D Models.
Ryutarou Ohbuchi,Mage - online and interference-aware scheduling for multi-scale heterogeneous systems.
Ryutarou Ohbuchi,Similarity of Deforming Meshes Based on Spatio-temporal Segmentation.
Ryutarou Ohbuchi,Completion of Cultural Heritage Objects with Rotational Symmetry.
Atsushi Tatsuma,Sketch-based 3D Object Retrieval Using Two Views and a Visual Part Alignment.
Guoliang Luo,Hypart - a hybrid technique for practical memory bandwidth partitioning on commodity servers.
Guoliang Luo,LightNet - A Lightweight 3D Convolutional Neural Network for Real-Time 3D Object Recognition.
Guoliang Luo,Microshapes - Efficient Querying of 3D Object Collections based on Local Shape.
Frederic Cordier,Performance Measures of Behavior-Based Signatures - An Anti-malware Solution for Platforms with Limited Computing Resource.
Frederic Cordier,3D Object Retrieval with Parametric Templates.
Frederic Cordier,Towards Scientific Benchmarks - On Increasing the Credibility of Benchmarks.
Frederic Cordier,Engineering commitment-based business protocols with the 2CL methodology.
Frederic Cordier,Non-rigid 3D Model Classification Using 3D Hahn Moment Convolutional Neural Networks.
Hyewon Seo,Energy-Efficient Tracking and Localization of Objects in Wireless Sensor Networks.
Hyewon Seo,Manifold Harmonic Transform and Spatial Relationships for Partial 3D Object Retrieval.
Hyewon Seo,Person Re-Identification from Depth Cameras using Skeleton and 3D Face Data.
Hyewon Seo,Energy-Efficient Resource Allocation for Massive MIMO Amplify-and-Forward Relay Systems.
Sebastian Ochmann,Automatic 3D Object Fracturing for Evaluation of Partial Retrieval and Object Restoration Tasks - Benchmark and Application to 3D Cultural Heritage Data.
Sebastian Ochmann,RGB-D to CAD Retrieval with ObjectNN Dataset.
Richard Vock,VW-SLP - auto-vectorization with adaptive vector width.
Richard Vock,Partial 3D Object Retrieval combining Local Shape Descriptors with Global Fisher Vectors.
Richard Vock,3D GrabCut - Interactive Foreground Extraction for Reconstructed 3D Scenes.
Richard Vock,Enhanced Forensic Speaker Verification Using a Combination of DWT and MFCC Feature Warping in the Presence of Noise and Reverberation Conditions.
Raoul Wessel,Retrieval and Classification on Textured 3D Models.
Raoul Wessel,Matching of Deformable Shapes with Topological Noise.
Reinhard Klein,Cost-driven thread coarsening for GPU kernels.
Reinhard Klein,3D Object Retrieval with Multimodal Views.
Panagiotis Papadakis,GMOD - a dynamic GPU memory overflow detector.
Panagiotis Papadakis,Energy-Efficient Power Control Algorithms in Massive MIMO Cognitive Radio Networks.
Panagiotis Papadakis,Edge-based LBP Description of Surfaces with Colorimetric Patterns.
Panagiotis Papadakis,Completion of Cultural Heritage Objects with Rotational Symmetry.
David Pickup,Retrieval of Non-rigid (textured) Shapes Using Low Quality 3D Models.
David Pickup,Compiler assisted coalescing.
Xianfang Sun,3D Hand Gesture Recognition Using a Depth and Skeletal Dataset.
Xianfang Sun,Copper micro and nano particles mixture for 3D interconnections application.
Paul L. Rosin,Depth Assisted Composition of Synthetic and Real 3D Scenes.
Paul L. Rosin,Enhanced Forensic Speaker Verification Using a Combination of DWT and MFCC Feature Warping in the Presence of Noise and Reverberation Conditions.
Paul L. Rosin,Similarity of Deforming Meshes Based on Spatio-temporal Segmentation.
Ralph R. Martin,Data motifs - a lens towards fully understanding big data and AI workloads.
Ralph R. Martin,ThOR - Three-dimensional Object Retrieval Library.
Ralph R. Martin,Shape Retrieval and 3D Gestural Interaction.
Z. Cheng,Sketch-based 3D Object Retrieval with Skeleton Line Views - Initial Results and Research Problems.
Z. Cheng,Cost effective speculation with the omnipredictor.
Zhouhui Lian,Compiler assisted coalescing.
Masaki Aono,The Canonically Posed 3D Objects Dataset.
Abdessamad Ben Hamza,Geodesic-based 3D Shape Retrieval Using Sparse Autoencoders.
Abdessamad Ben Hamza,Maximizing system utilization via parallelism management for co-located parallel applications.
Alexander M. Bronstein,Energy-Efficient Data Gathering Framework-Based Clustering via Multiple UAVs in Deadline-Based WSN Applications.
Alexander M. Bronstein,ThOR - Three-dimensional Object Retrieval Library.
Alexander M. Bronstein,A Framework Based on Compressed Manifold Modes for Robust Local Spectral Analysis.
Alexander M. Bronstein,RGB-D to CAD Retrieval with ObjectNN Dataset.
Alexander M. Bronstein,Directed Curvature Histograms for Robotic Grasping.
Michael M. Bronstein,3D Volume Matching for Mesh Animation of Moving Actors.
Michael M. Bronstein,Energy-Efficient Transceiver Design for Hybrid Sub-Array Architecture MIMO Systems.
Michael M. Bronstein,Large Scale Comprehensive 3D Shape Retrieval.
Michael M. Bronstein,TreeSha - 3D Shape Retrieval with a Tree Graph Representation based on the Autodiffusion Function Topology.
S. Bu,Matching of Deformable Shapes with Topological Noise.
Umberto Castellani,Enhanced Forensic Speaker Verification Using a Combination of DWT and MFCC Feature Warping in the Presence of Noise and Reverberation Conditions.
Umberto Castellani,Enhanced Industrial Machinery Condition Monitoring Methodology Based on Novelty Detection and Multi-Modal Analysis.
Umberto Castellani,Large Scale Comprehensive 3D Shape Retrieval.
S. Cheng,"Enhanced Human Face Recognition Using LBPH Descriptor, Multi-KNN, and Back-Propagation Neural Network."
S. Cheng,Retrieval of Non-rigid (textured) Shapes Using Low Quality 3D Models.
Valeria Garro,Energy-Efficient Transceiver Design for Hybrid Sub-Array Architecture MIMO Systems.
Valeria Garro,MemoDyn - exploiting weakly consistent data structures for dynamic parallel memoization.
Andrea Giachetti 0001,Completion of Cultural Heritage Objects with Rotational Symmetry.
Andrea Giachetti 0001,Quantitative Comparison of Hole Filling Methods for 3D Object Search.
Andrea Giachetti 0001,The Canonically Posed 3D Objects Dataset.
Andrea Giachetti 0001,Enhancing Power Quality in Microgrids With a New Online Control Strategy for DSTATCOM Using Reinforcement Learning Algorithm.
Afzal Godil,Edge-based LBP Description of Surfaces with Colorimetric Patterns.
Afzal Godil,Automatic annotation of tasks in structured code.
Afzal Godil,Towards the Extraction of Hierarchical Building Descriptions from 3D Indoor Scans.
Afzal Godil,Building an Initialization Cipher Block with Two-Dimensional Operation and Random Parameters.
Afzal Godil,Retrieval of Surfaces with Similar Relief Patterns.
J. Han,Log(graph) - a near-optimal high-performance graph representation.
J. Han,Shape Retrieval of Low-Cost RGB-D Captures.
Henry Johan,Non-rigid 3D Model Classification Using 3D Hahn Moment Convolutional Neural Networks.
Henry Johan,Secure High Capacity Data Hiding for 3d Meshes.
Henry Johan,Bag of Compact HKS-based Feature Descriptors.
Henry Johan,Energy-Efficient WiFi Offloading and Network Management in Heterogeneous Wireless Networks.
L. Lai,Proposed static timing analysis framework for extracted 3D integrated circuits (3D-STA).
L. Lai,Quantitative Comparison of Hole Filling Methods for 3D Object Search.
L. Lai,Sketch-based 3D Object Retrieval with Skeleton Line Views - Initial Results and Research Problems.
Bo Li 0013,Temporal Ensemble of Shape Functions.
Bo Li 0013,3D Volume Matching for Mesh Animation of Moving Actors.
Bo Li 0013,Temporal Domain Stereo Matching based on Feature Points for Restriction of Error Propagation.
Bo Li 0013,3D Object Retrieval with Multimodal Views.
C. Li,Sketch-based 3D Object Retrieval with Skeleton Line Views - Initial Results and Research Problems.
C. Li,Energy-Efficient Signalling in QoS Constrained Heterogeneous Networks.
C. Li,Energy-Efficient Indoor Localization of Smart Hand-Held Devices Using Bluetooth.
C. Li,Completion of Cultural Heritage Objects with Rotational Symmetry.
